fraction_of_base,swept_value,concept_orders,B737Max8_orders,chosen_aircraft,total_profit,concept_penetration,weighted_casm,status
0.88,48.4,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.89,48.95,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.9,49.5,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.91,50.05,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.92,50.6,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.93,51.15,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.94,51.7,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.95,52.25,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.96,52.8,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.97,53.35,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.98,53.9,0,34,B737Max8,147485091.5,0.0,0.12,optimal
0.99,54.45,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.0,55.0,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.1,60.5,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.2,66.0,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.3,71.5,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.4,77.0,0,34,B737Max8,147485091.5,0.0,0.12,optimal
1.5,82.5,0,34,B737Max8,147485091.5,0.0,0.12,optimal
