fraction_of_base,swept_value,concept_orders,B737Max8_orders,A320Neo_orders,chosen_aircraft,total_profit,concept_penetration,weighted_casm,status
0.5,27.5,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
0.6,33.0,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
0.7,38.5,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
0.8,44.0,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
0.9,49.5,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.0,55.0,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.1,60.5,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.2,66.0,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.3,71.5,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.4,77.0,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
1.5,82.5,0,0,34,A320Neo,149835301.99999976,0.0,0.12,optimal
